Symbol,Name
KIRIINDUS,Kiri Industries 
KIRLOSBROS,Kirloskar Brothers 
KIRLOSENG,Kirloskar Oil Engines 
KIRLOSIND,Kirloskar Industries 
KITPLYIND,Kitply Industries 
KKCL,Kewal Kiran Clothing 
KLGSYSTEL,KLG Systel 
KMSUGAR,K.M.Sugar Mills 
KNRCON,KNR Constructions 
KOHINOOR,Kohinoor Foods 
KOLTEPATIL,Kolte - Patil Developers 
KOPDRUGS,KDL Biotech 
KOPRAN,Kopran 
KOTAKBANK,Kotak Mahindra Bank 
KOTARISUG,Kothari Sugars And Chemicals 
KOTHARIPET,Kothari Petrochemicals 
KOTHARIPRO,Kothari Products 
KOUTONS,Koutons Retail India 
KPIT,KPIT Cummins Infosystems 
KPRMILL,K.P.R. Mill 
KRBL,KRBL 
KRISHNAENG,Krishna Engineering Works 
KSBPUMPS,KSB Pumps 
KSCL,Kaveri Seed Company 
KSERASERA,K Sera Sera 
KSK,KSK Energy Ventures 
KSL,Kalyani Steels 
KSOILS,K S Oils 
KTIL,Kesar Terminals & Infrastructure 
KTKBANK,The Karnataka Bank 
LAKPRE,Lakshmi Precision Screws 
LAKSHMIEFL,Lakshmi Energy and Foods 
LAKSHVILAS,Lakshmi Vilas Bank 
LANCOIN,Lanco Industries 
LAOPALA,La Opala RG 
LAXMIMACH,Lakshmi Machine Works 
LGBBROSLTD,LG Balakrishnan & Bros 
LGBFORGE,LGB Forge 
LIBERTSHOE,Liberty Shoes 
LICHSGFIN,LIC Housing Finance 
LITL,Lanco Infratech 
LLOYDELENG,Lloyd Electric & Engineering 
LLOYDFIN,Lloyds Finance 
LLOYDSTEEL,Lloyds Steel Industries 
LML,LML 
LOGIXMICRO,Logix Microsystems 
LOKESHMACH,Lokesh Machines 
LOTUSEYE,Lotus Eye Care Hospital 
LOVABLE,Lovable Lingerie 
LPDC,Landmark Property Development Company 
LT,Larsen & Toubro 
LUMAXAUTO,Lumax Automotive Systems 
LUMAXIND,Lumax Industries 
LUMAXTECH,Lumax Auto Technologies 
LUPIN,Lupin 
LYKALABS,Lyka Labs 
M&M,Mahindra & Mahindra 
M&MFIN,Mahindra & Mahindra Financial Services 
MAANALU,Maan Aluminium 
MADHAV,Madhav Marbles and Granites 
MADHUCON,Madhucon Projects 
MADRASCEM,Madras Cements 
MADRASFERT,Madras Fertilizers 
MAGMA,Magma Fincorp 
MAGNUM,Magnum Ventures 
MAHABANK,Bank of Maharashtra
MAHINDFORG,Mahindra Forgings 
MAHINDUGIN,Mahindra Ugine Steel Company 
MAHLIFE,Mahindra Lifespace Developers 
MAHSCOOTER,Maharashtra Scooters 
MAHSEAMLES,Maharashtra Seamless 
MALWACOTT,Malwa Cotton Spg. Mills 
MANAKSIA,Manaksia 
MANALIPETC,Manali Petrochemical 
MANDHANA,Mandhana Industries 
MANGALAM,Mangalam Drugs And Organics 
MANGCHEFER,Mangalore Chemicals & Fertilizers 
MANGLMCEM,Mangalam Cement 
MANGTIMBER,Mangalam Timber Products 
MANINDS,Man Industries (India) 
MANINFRA,Man Infraconstruction 
MANUGRAPH,Manugraph India 
MARALOVER,Maral Overseas 
MARICO,Marico 
MARKSANS,Marksans Pharma 
MARUTI,Maruti Suzuki India 
MASTEK,Mastek 
MAWANASUG,Mawana Sugars 
MAX,Max India 
MAXWELL,Maxwell Industries 
MBECL,Mcnally Bharat Engineering Company 
MBLINFRA,MBL Infrastructures 
MCDHOLDING,McDowell Holdings 
MCDOWELL-N,United Spirits 
MCLEODRUSS,Mcleod Russel India 
MEGASOFT,Megasoft 
MEGH,Meghmani Organics 
MELSTAR,Melstar Information Technologies 
MERCK,Merck 
MHRIL,Mahindra Holidays & Resorts India 
MIC,MIC Electronics 
MICROSEC,Microsec Financial Services 
MICROTECH,Micro Technologies (India) 
MINDAIND,Minda Industries 
MINDTREE,MindTree 
MIRCELECTR,MIRC Electronics 
MIRZAINT,Mirza International 
MLL,Mercator Lines 
MMFL,MM Forgings 
MMFSL,Money Matters Financial Services 
MOIL,MOIL 
MONNETISPA,Monnet Ispat 
MONSANTO,Monsanto India 
MORARJETEX,Morarjee Textiles 
MOREPENLAB,Morepen Laboratories 
MOSERBAER,Moser-Baer (I) 
MOTHERSUMI,Motherson Sumi Systems 
MOTILALOFS,Motilal Oswal Financial Services 
MOTOGENFIN,The Motor & General Finance 
MPHASIS,MphasiS 
MPSLTD,MPS 
MRF,MRF 
MRO-TEK,MRO-TEK 
MRPL,Mangalore Refinery and Petrochemicals 
MSPL,MSP Steel & Power 
MTNL,Mahanagar Telephone Nigam 
MUDRA,Mudra Lifestyle 
MUKANDENGG,Mukand Engineers 
MUKANDLTD,Mukand 
MUKTAARTS,Mukta Arts 
MUNDRAPORT,Mundra Port and Special Economic Zone 
MUNJALAU,Munjal Auto Industries 
MUNJALSHOW,Munjal Showa 
MURLIIND,Murli Industries 
MURUDCERA,Murudeshwar Ceramics 
MVL,MVL 
MVLIND,MVL Industries 
MYSOREBANK,State Bank of Mysore
NAGARFERT,Nagarjuna Fertilizer & Chemicals 
NAGREEKCAP,Nagreeka Capital & Infrastructure 
NAGREEKEXP,Nagreeka Exports 
NAHARCAP,Nahar Capital and Financial Services 
NAHARINDUS,Nahar Industrial Enterprises 
NAHARPOLY,Nahar Poly Films 
NAHARSPING,Nahar Spinning Mills 
NANDAN,Nandan Exim 
NATCOPHARM,Natco Pharma 
NATIONALUM,National Aluminium Company 
NATNLSTEEL,National Steel And Agro Industries 
NAUKRI,Info Edge (India) 
NAVINFLUOR,Navin Fluorine International 
NAVNETPUBL,Navneet Publications India 
NBVENTURES,Nava Bharat Ventures 
NCC,NCC 
NCLIND,NCL Industries 
NDTV,New Delhi Television 
NECLIFE,Nectar Lifesciences 
NELCAST,Nelcast 
NELCO,NELCO 
NEPCMICON,NEPC India 
NESCO,Nesco 
NET4,Net 4 India 
NETWORK18,Network18 Media & Investments 
NEULANDLAB,Neuland Laboratories 
NEXTMEDIA,Next Mediaworks 
NEYVELILIG,Neyveli Lignite Corporation 
NFL,National Fertilizers 
NHPC,NHPC 
NICCO,Nicco Corporation 
NIITLTD,NIIT 
NIITTECH,NIIT Technologies 
NILKAMAL,Nilkamal 
NIPPOBATRY,Nippo Batteries Company 
NIRMA,Nirma 
NISSAN,Nissan Copper 
NITCO,Nitco 
NITESHEST,Nitesh Estates 
NITINFIRE,Nitin Fire Protection Industries 
NITINSPIN,Nitin Spinners 
NMDC,NMDC 
NOCIL,NOCIL 
NOIDATOLL,Noida Toll Bridge Company 
NORBTEAEXP,Norben Tea & Exports 
NORTHGATE,Northgate Technologies 
NOVOPANIND,Novopan Industries 
NRBBEARING,NRB Bearing 
NSIL,Nalwa Sons Investments 
NTPC,NTPC 
NUCENT,Nucent Finance 
NUCHEM,Nuchem 
NUCLEUS,Nucleus Software Exports 
NUMERICPW,Numeric Power Systems 
NUTEK,Nu Tek India 
OBEROIRLTY,Oberoi Realty 
OCL,OCL India 
OFSS,Oracle Financial Services Software 
OIL,Oil India 
OILCOUNTUB,Oil Country Tubular 
OISL,OCL Iron and Steel 
OMAXAUTO,Omax Autos 
OMAXE,Omaxe 
OMKARCHEM,Omkar Speciality Chemicals 
OMMETALS,OM Metals Infraprojects 
OMNITECH,Omnitech Infosolutions 
ONGC,Oil & Natural Gas Corporation 
ONMOBILE,OnMobile Global 
ONWARDTEC,Onward Technologies 
OPTOCIRCUI,Opto Circuits (India) 
ORBITCORP,Orbit Corporation 
ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals 
ORIENTABRA,Orient Abrasives 
ORIENTALTL,Oriental Trimex 
ORIENTBANK,Oriental Bank of Commerce
ORIENTCERA,Orient Ceramics and Industries 
ORIENTHOT,Oriental Hotels 
ORIENTLTD,Orient Press 
ORIENTPPR,Orient Paper & Industries 
ORISSAMINE,The Orissa Minerals Development Company 
OUDHSUG,The Oudh Sugar Mills 
PAEL,PAE 
PAGEIND,Page Industries 
PANACEABIO,Panacea Biotec 
PANORAMUNI,Panoramic Universal 
PANTALOONR,Pantaloon Retail (India) 
PAPERPROD,The Paper Products 
PARABDRUGS,Parabolic Drugs 
PARACABLES,Paramount Communications 
PARAL,Parekh Aluminex 
PARAPRINT,Paramount Printpackaging 
PARASPETRO,Paras Petrofils 
PAREKHPLAT,Parekh Platinum 
PARRYSUGAR,Parrys Sugar Industries 
PARSVNATH,Parsvnath Developers 
PATELENG,Patel Engineering 
PATINTLOG,Patel Integrated Logistics 
PATNI,Patni Computer Systems 
PATSPINLTD,Patspin India 
PBAINFRA,PBA Infrastructure 
PDPL,Parenteral Drugs (India) 
PDUMJEIND,Pudumjee Industries 
PDUMJEPULP,Pudumjee Pulp & Paper Mills 
PEARLPOLY,Pearl Polymers 
PENIND,Pennar Industries 
PENINLAND,Peninsula Land 
PEPL,Pearl Engineering Polymers 
PERSISTENT,Persistent Systems 
PETRONENGG,Petron Engineering Construction 
PETRONET,Petronet LNG 
PFC,Power Finance Corporation 
PFIZER,Pfizer 
PFOCUS,Prime Focus 
PFS,PTC India Financial Services 
PGHH,Procter & Gamble Hygiene and Health Care 
PHILIPCARB,Phillips Carbon Black 
PHOENIXLTD,The Phoenix Mills 
PIDILITIND,Pidilite Industries 
PIIND,PI Industries 
PIONDIST,Pioneer Distilleries 
PIPAVAVYD,Pipavav Shipyard 
PIRGLASS,Piramal Glass 
PIRHEALTH,Piramal Healthcare 
PIRLIFE,Piramal Life Sciences 
PITTILAM,Pitti Laminations 
PLASTIBLEN,Plastiblends India 
PLETHICO,Plethico Pharmaceuticals 
PNB,Punjab National Bank
PNBGILTS,PNB Gilts 
PNC,Pritish Nandy Communications 
POCHIRAJU,Pochiraju Industries 
POLARIS,Polaris Software Lab 
POLYPLEX,Polyplex Corporation 
PONNIERODE,Ponni Sugars (Erode) 
POWERGRID,Power Grid Corporation of India 
PPAP,Precision Pipes And Profiles Company 
PRADIP,Pradip Overseas 
PRAENG,Prajay Engineers Syndicate 
PRAJIND,Praj Industries 
PRAKASH,Prakash Industries 
PRAKASHSTL,Prakash Steelage 
PRATIBHA,Pratibha Industries 
PRECOT,Precot Meridian 
PRECWIRE,Precision Wires India 
PREMIER,Premier 
PRESTIGE,Prestige Estates Projects 
PRICOL,Pricol 
PRIMESECU,Prime Securities 
PRISMCEM,Prism Cement 
PRITHVI,Prithvi Information Solutions 
PROVOGUE,Provogue (India) 
PSB,Punjab & Sind Bank
PSL,PSL 
PTC,PTC India 
PTL,PTL Enterprises 
PUNJABCHEM,Punjab Chemicals & Crop Protection 
PUNJLLOYD,Punj Lloyd 
PURVA,Puravankara Projects 
PVP,PVP Ventures 
PVR,PVR 
QUINTEGRA,Quintegra Solutions 
RADAAN,Radaan Mediaworks India 
RADICO,Radico Khaitan 
RAINBOWPAP,Rainbow Papers 
RAINCOM,Rain Commodities 
RAIREKMOH,Raisaheb Reckhchand Mohota Spinning & Weaving Mills 
RAJESHEXPO,Rajesh Exports 
RAJOIL,Raj Oil Mills 
RAJRAYON,Raj Rayon Industries 
RAJSREESUG,Rajshree Sugars & Chemicals 
RAJTV,Raj Television Network 
RAJVIR,Rajvir Industries 
RALLIS,Rallis India 
RAMANEWS,Rama Newsprint and Papers 
RAMCOIND,Ramco Industries 
RAMCOSYS,Ramco Systems 
RAMKY,Ramky Infrastructure 
RAMSARUP,Ramsarup Industries 
RANASUG,Rana Sugars 
RANBAXY,Ranbaxy Laboratories 
RANEENGINE,Rane Engine Valve 
RANEHOLDIN,Rane Holdings 
RATNAMANI,Ratnamani Metals & Tubes 
RAYMOND,Raymond 
RBL,Rane Brake Lining 
RBN,Reliance Broadcast Network 
RCF,Rashtriya Chemicals and Fertilizers 
RCOM,Reliance Communications 
RECLTD,Rural Electrification Corporation 
REDINGTON,Redington (India) 
REFEX,Refex Refrigerants 
REIAGROLTD,Rei Agro 
REISIXTEN,REI Six Ten Retail 
RELAXO,Relaxo Footwears 
RELCAPITAL,Reliance Capital 
RELIANCE,Reliance Industries 
RELIGARE,Religare Enterprises 
RELINFRA,Reliance Infrastructure 
RELMEDIA,Reliance MediaWorks 
RENUKA,Shree Renuka Sugars 
REPRO,Repro India 
RESPONIND,Responsive Industries 
RESURGERE,Resurgere Mines & Minerals India 
REVATHI,Revathi Equipment 
RICOAUTO,Rico Auto Industries 
RIIL,Reliance Industrial Infrastructure 
RJL,Renaissance Jewellery 
RKFORGE,Ramkrishna Forgings 
RMCL,Radha Madhav Corporation 
RML,Rane (Madras) 
ROHITFERRO,Rohit Ferro-Tech 
ROHLTD,Royal Orchid Hotels 
ROLTA,Rolta India 
ROMAN,Roman Tarmat 
RPGLIFE,RPG Life Sciences 
RPOWER,Reliance Power 
RPPINFRA,R.P.P. Infra Projects 
RSSOFTWARE,R. S. Software (India) 
RSWM,RSWM 
RSYSTEMS,R Systems International 
RUBYMILLS,The Ruby Mills 
RUCHIRA,Ruchira Papers 
RUCHISOYA,Ruchi Soya Industries 
RUCHINFRA,Ruchi Infrastructure 
SABERORGAN,Sabero Organics Gujarat 
SABTN,Sri Adhikari Brothers Television Network 
SADBHAV,Sadbhav Engineering 
SAGCEM,Sagar Cements 
SAHPETRO,Sah Petroleums 
SAIL,Steel Authority of India 
SAKHTISUG,Sakthi Sugars 
SAKSOFT,Saksoft 
SAKUMA,Sakuma Exports 
SALORAINTL,Salora International 
SALSTEEL,S.A.L. Steel 
SAMBHAAV,Sambhaav Media 
SAMTEL,Samtel Color 
SANDESH,The Sandesh 
SANGAMIND,Sangam (India) 
SANGHIIND,Sanghi Industries 
SANGHVIFOR,Sanghvi Forging and Engineering 
SANGHVIMOV,Sanghvi Movers 
SANWARIA,Sanwaria Agro Oils 
SARDAEN,Sarda Energy & Minerals 
SAREGAMA,Saregama India 
SARLAPOLY,Sarla Performance Fibers 
SASKEN,Sasken Communication Technologies 
SATHAISPAT,Sathavahana Ispat 
SATYAMCOMP,Satyam Computer Services 
SAVERA,Savera Industries 
SB&TINTL,SB&T International 
SBBJ,State Bank of Bikaner and Jaipur
SBIN,State Bank of India
SBT,State Bank of Travancore
SCI,Shipping Corporation Of India 
SEAMECLTD,Seamec 
SEINVEST,S.E. Investments 
SELAN,Selan Exploration Technology 
SELMCL,SEL Manufacturing Company 
SERVALL,Servalakshmi Paper 
SESAGOA,Sesa Goa 
SESHAPAPER,Seshasayee Paper and Boards Limi
SEZALGLASS,Sezal Glass 
SGFL,Shree Ganesh Forgings 
SGJHL,Shree Ganesh Jewellery House 
SGL,STL Global 
SHAHALLOYS,Shah Alloys 
SHALPAINTS,Shalimar Paints 
SHANTIGEAR,Shanthi Gears 
SHARRESLTD,Sharyans Resources 
SHASUNPHAR,Shasun Pharmaceuticals 
SHILPAMED,Shilpa Medicare 
SHILPI,Shilpi Cable Technologies 
SHIVAMAUTO,Shivam Autotech 
SHIVTEX,Shiva Texyarn 
SHIV-VANI,Shiv-Vani Oil & Gas Exploration Services 
SHLAKSHMI,Shri Lakshmi Cotsyn 
SHOPERSTOP,Shoppers Stop 
SHPRE,Shree Precoated Steels 
SHREEASHTA,Shree Ashtavinayak Cine Vision 
SHREECEM,Shree Cements 
SHREERAMA,Shree Rama Multi-Tech 
SHRENUJ,Shrenuj & Company 
SHREYANIND,Shreyans Industries 
SHREYAS,Shreyas Shipping & Logistics 
SHRIRAMCIT,Shriram City Union Finance 
SHRIRAMEPC,Shriram EPC 
SHYAMTEL,Shyam Telecom 
SICAGEN,Sicagen India 
SICAL,Sical Logistics 
SIEMENS,Siemens 
SIL,Standard Industries 
SILINV,SIL Investments 
SIMBHSUGAR,Simbhaoli Sugars 
SIMPLEX,Simplex Projects 
SIMPLEXINF,Simplex Infrastructures 
SINTEX,Sintex Industries 
SIRPAPER,The Sirpur Paper Mills 
SITASHREE,Sita Shree Food Products 
SIYSIL,Siyaram Silk Mills 
SJVN,SJVN 
SKFINDIA,SKF India 
SKMEGGPROD,SKM Egg Products Export (India) 
SKSMICRO,SKS Microfinance 
SKUMARSYNF,S. Kumars Nationwide 
SMARTLINK,Smartlink Network Systems 
SMLISUZU,SML Isuzu 
SMPL,Sujana Metal Products 
SMSPHARMA,SMS Pharmaceuticals 
SOBHA,Sobha Developers 
SOFTTECHGR,Software Technology Group International 
SOLARINDS,Solar Industries India 
SOMANYCERA,Somany Ceramics 
SOMATEX,Soma Textiles & Industries 
SONASTEER,Sona Koyo Steering Systems 
SONATSOFTW,Sonata Software 
SOTL,Savita Oil Technologies 
SOUTHBANK,The South Indian Bank 
SPANCO,Spanco 
SPARC,Sun Pharma Advanced Research Company 
SPECTACLE,Spectacle Infotek 
SPENTEX,Spentex Industries 
SPIC,Southern Petrochemicals Industries Corporation 
SPICEMOBIL,Spice Mobility 
SPLIL,SPL Industries 
SPMLINFRA,SPML Infra 
SPYL,Shekhawati Poly-Yarn 
SREINFRA,SREI Infrastructure Finance 
SRF,SRF 
SRGINFOTEC,SRG Infotec (India) 
SRHHLINDST,SRHHL Industries 
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo 
SRTRANSFIN,Shriram Transport Finance Company 
SSWL,Steel Strips Wheels 
STAR,Strides Arcolab 
STARPAPER,Star Paper Mills 
STCINDIA,The State Trading Corporation of India 
STER,Sterlite Industries ( India ) 
STERLINBIO,Sterling Biotech 
STERTOOLS,Sterling Tools 
STINDIA,STI India 
STOREONE,Store One Retail India 
STRTECH,Sterlite Technologies 
SUBEX,Subex 
SUBROS,Subros 
SUDAR,Sudar Garments 
SUDARSCHEM,Sudarshan Chemical Industries 
SUJANATOW,Sujana Tower 
SUJANAUNI,Sujana Universal Industries 
SUMEETINDS,Sumeet Industries 
SUMMITSEC,Summit Securities 
SUNCLAYTON,Sundaram Clayton 
SUNDARAM,Sundaram Multi Pap 
SUNDARMFIN,Sundaram Finance 
SUNDRMBRAK,Sundaram Brake Linings 
SUNDRMFAST,Sundram Fasteners 
SUNFLAG,Sunflag Iron And Steel Company 
SUNILHITEC,Sunil Hitech Engineers 
SUNPHARMA,Sun Pharmaceuticals Industries 
SUNTECK,Sunteck Realty 
SUNTV,Sun TV Network 
SUPERSPIN,Super Spinning Mills 
SUPPETRO,Supreme Petrochem 
SUPRAJIT,Suprajit Engineering 
SUPREMEIND,Supreme Industries 
SUPREMEINF,Supreme Infrastructure India 
SUPREMETEX,Supreme Tex Mart 
SURAJDIAMN,Su-Raj Diamonds and Jewellery 
SURANACORP,Surana Corporation 
SURANAIND,Surana Industries 
SURANAT&P,Surana Telecom and Power 
SURYAJYOTI,Suryajyoti Spinning Mills 
SURYALAXMI,Suryalakshmi Cotton Mills 
SURYAPHARM,Surya Pharmaceutical 
SURYAROSNI,Surya Roshni 
SUTLEJTEX,Sutlej Textiles and Industries 
SUVEN,Suven Life Sciences 
SUZLON,Suzlon Energy 
SWARAJENG,Swaraj Engines 
SYMPHONY,Symphony 
SYNCOM,Syncom Healthcare 
SYNDIBANK,Syndicate Bank
TAINWALCHM,Tainwala Chemical and Plastic (I) 
TAJGVK,Taj GVK Hotels & Resorts 
TAKE,Take Solutions 
TALBROAUTO,Talbros Automotive Components 
TALWALKARS,Talwalkars Better Value Fitness 
TANLA,Tanla Solutions 
TANTIACONS,Tantia Constructions 
TARAPUR,Tarapur Transformers 
TATACHEM,Tata Chemicals 
TATACOMM,Tata Communications 
TATAELXSI,Tata Elxsi 
TATACOFFEE,Tata Coffee 
TATAGLOBAL,Tata Global Beverages 
TATAINVEST,Tata Investment Corporation 
TATAMETALI,Tata Metaliks 
TATAMOTORS,Tata Motors 
TATAPOWER,Tata Power Company 
TATASPONGE,Tata Sponge Iron 
TATASTEEL,Tata Steel 
TCI,Transport Corporation of India 
TCIDEVELOP,TCI Developers 
TCIFINANCE,TCI Finance 
TCS,Tata Consultancy Services 
TECHM,Tech Mahindra 
TECHNO,Techno Electric & Engineering Company 
TECHNOFAB,Technofab Engineering 
TECPRO,Tecpro Systems 
TELEDATAIT,Teledata Technology Solutions 
TEXMACOLTD,Texmaco 
TEXMOPIPES,Texmo Pipes and Products 
TFCILTD,Tourism Finance Corporation of India 
TFL,Transwarranty Finance 
THANGAMAYL,Thangamayil Jewellery 
THEMISMED,Themis Medicare 
THERMAX,Thermax 
THINKSOFT,Thinksoft Global Services 
THIRUSUGAR,Thiru Arooran Sugars 
THOMASCOOK,Thomas Cook (India) 
TI,Tilaknagar Industries 
TIDEWATER,Tide Water Oil Company (India) 
TIIL,Technocraft Industries (India) 
TIL,TIL 
TIMESGTY,Times Guaranty 
TIMETECHNO,Time Technoplast 
TIMKEN,Timken India 
TINPLATE,The Tinplate Company of India 
TIPSINDLTD,TIPS Industries 
TIRUMALCHM,Thirumalai Chemicals 
TITAN,Titan Industries 
TNPETRO,Tamilnadu PetroProducts 
TNPL,Tamil Nadu Newsprint & Papers 
TNTELE,Tamilnadu Telecommunication 
TODAYS,Todays Writing Products 
TOKYOPLAST,Tokyo Plast International 
TORNTPHARM,Torrent Pharmaceuticals 
TORNTPOWER,Torrent Power 
TRENT,Trent 
TRF,TRF 
TRICOM,Tricom India 
TRIGYN,Trigyn Technologies 
TRIL,Transformers And Rectifiers (India) 
TRIVENI,Triveni Engineering & Industries 
TTKHEALTH,TTK Healthcare 
TTKPRESTIG,TTK Prestige 
TTL,T T 
TTML,Tata Teleservices (Maharashtra) 
TUBEINVEST,Tube Investments of India 
TRIDENT,Trident 
TULIP,Tulip Telecom 
TULSI,Tulsi Extrusions 
TVSELECT,TVS Electronics 
TVSMOTOR,TVS Motor Company 
TVSSRICHAK,TVS Srichakra 
TVTODAY,TV Today Network 
TWILITAKA,Twilight Litaka Pharma 
TWL,Titagarh Wagons 
UBENGG,UB Engineering 
UBHOLDINGS,United Breweries (Holdings) 
UCALFUEL,Ucal Fuel Systems 
UCOBANK,UCO Bank
UFLEX,UFLEX 
UGARSUGAR,The Ugar Sugar Works 
ULTRACEMCO,UltraTech Cement 
UMESLTD,Usha Martin Education & Solutions 
UNICHEMLAB,Unichem Laboratories 
UNIENTER,Uniphos Enterprises 
UNIONBANK,Union Bank of India
UNIPHOS,United Phosphorus 
UNIPLY,Uniply Industries 
UNITECH,Unitech 
UBL,United Breweries 
UNITY,Unity Infraprojects 
UNIVCABLES,Universal Cables 
UNITEDBNK,United Bank of India
UPERGANGES,Upper Ganges Sugar & Industries 
USHAMART,Usha Martin 
USHERAGRO,Usher Agro 
UTTAMSTL,Uttam Galva Steels 
UTTAMSUGAR,Uttam Sugar Mills 
UTVSOF,UTV Software Communications 
VADILALIND,Vadilal Industries 
VAIBHAVGEM,Vaibhav Gems 
VAKRANSOFT,Vakrangee Softwares 
VALECHAENG,Valecha Engineering 
VALUEIND,Value Industries 
VARDHACRLC,Vardhman Acrylics 
VARDMNPOLY,Vardhman Polytex 
VARUN,Varun Industries 
VARUNSHIP,Varun Shipping Company 
VASCONEQ,Vascon Engineers 
VENKEYS,Venky's (India) 
VENUSREM,Venus Remedies 
VESUVIUS,Vesuvius India 
VGUARD,V-Guard Industries 
VHL,Vardhman Holdings 
VICEROY,Viceroy Hotels 
VIDEOIND,Videocon Industries 
VIJAYABANK,Vijaya Bank
VIJSHAN,Vijay Shanthi Builders 
VIKASHMET,Vikash Metal & Power 
VIMTALABS,Vimta Labs 
VINATIORGA,Vinati Organics 
VINDHYATEL,Vindhya Telelinks 
VIPIND,VIP Industries 
VISAKAIND,Visaka Industries 
VISASTEEL,Visa Steel 
VISESHINFO,Visesh Infotecnics 
VISHALRET,Vishal Retail 
VISUINTL,Visu International 
VIVIMEDLAB,Vivimed Labs 
VLSFINANCE,VLS Finance 
VOLTAMP,Voltamp Transformers 
VOLTAS,Voltas 
VSTIND,VST Industries 
VSTTILLERS,V.S.T Tillers Tractors 
VTL,Vardhman Textiles 
WABAG,VA Tech Wabag 
WABCO-TVS,WABCO-TVS (INDIA) 
WALCHANNAG,Walchandnagar Industries 
WANBURY,Wanbury 
WEBELSOLAR,Websol Energy Systems 
WEIZMANIND,Weizmann 
WELCORP,Welspun Corp 
WELINV,Welspun Investments and Commercials 
WELPROJ,Welspun Projects 
WELSPUNIND,Welspun India 
WENDT,Wendt (India) 
WHEELS,Wheels India 
WHIRLPOOL,Whirlpool of India 
WILLAMAGOR,Williamson Magor & Company 
WINDSOR,Windsor Machines 
WINSOMYARN,Winsome Yarns 
WIPRO,Wipro 
WSI,W S Industries (I) 
WSTCSTPAPR,West Coast Paper Mills 
WOCKPHARMA,Wockhardt 
WWIL,Wire and Wireless (India) 
WYETH,Wyeth 
XPROINDIA,Xpro India 
XLENERGY,XL Energy 
YESBANK,Yes Bank 
ZANDUREALT,Zandu Realty 
ZEEL,Zee Entertainment Enterprises 
ZEELEARN,Zee Learn 
ZEENEWS,Zee News 
ZENITHBIR,Zenith Birla (India) 
ZENITHCOMP,Zenith Computers 
ZENITHEXPO,Zenith Exports 
ZENITHINFO,Zenith Infotech 
ZENSARTECH,Zensar Technologies 
ZICOM,Zicom Electronic Security Systems 
ZODIACLOTH,Zodiac Clothing Company 
ZODJRDMKJ,Zodiac JRD- MKJ 
ZUARIAGRO,Zuari Industries 
ZYDUSWELL,Zydus Wellness 
ZYLOG,Zylog Systems 
